recipe_title,ingredients,instructions
Savory Shrimps On Skillet Recipe,Shrimps|Butter (Salted)|Orange color|Lemon juice|Honey|Black pepper powder|Garlic|Ginger|Fresh Thyme leaves,"To begin making the Savory Shrimps On Skillet recipe, Devein and de shell the shrimps. Keep the tail on if you want.|In a small bowl, mix together ingredients mentioned for sauce. Add shrimps into the sauce and mix well and marinate for 20 minutes.|Add 3-4 drops of orange food color into the marinated shrimps and mix well. (you can skip this step too)|Next, heat a skillet. Add 1/2 tablespoon butter and once the butter is melted, remove the shrimps out from the marination sauce and place on top. Don't overcrowd.|Fry in two batches if there isn't any room. Reserve the remaining sauce for later use. Fry on medium heat for about 2 minutes on one side and then flip them all.|Fry on the other side similarly. Once they look all browned and fried nicely, remove them out on a plate and repeat for the next batch.|Switch off the stove.Now, mix all the fried shrimps together in a same skillet and drizzle the reserved sauce over them.|Mix well and serve. Serve Savory Shrimps on skillet along with other starters such as | and | to your guests."
Goan Sorak Curry Recipe,Oil|Kokum (Malabar Tamarind)|Green Chillies|Jaggery|Salt|Coriander (Dhania) Leaves|Fresh coconut|Onion|Garlic|Cumin seeds (Jeera)|Coriander (Dhania) Seeds|Dry Red Chillies|Turmeric powder (Haldi),"To begin making the Goan Sorak Curry Recipe, we will first grind the sorak curry masala. |In a mixer jar, combine the onion, garlic, cumin seeds, coriander seeds, dry red chillies, coconut and turmeric. Add 1/2 cup of warm water and blend to make a smooth paste. |Heat oil in a heavy bottom pan over medium heat; add the green chilli and the freshly ground goan sorak curry masala. Saute for 2 minutes or until the raw smell of the masala disappears. |Next add in the salt, jaggery, kokum, one cup of water and bring the goan sorak curry to a brisk boil. |Adjust the salt and seasoning according to your taste. Turn off the heat and garnish the goan sorak curry with coriander leaves and serve. |Serve the Goan Sorak Curry along with | or even | for lunch or dinner."
Toffee Banana Recipe (Classic Chinese Dessert),Ripe Bananas|Sesame seeds (Til seeds)|Sesame seeds (Til seeds)|Oil|Chilled water|All Purpose Flour (Maida)|Corn flour|Oil|Baking powder|Sugar|Water,"To begin making Toffee Banana recipe, first heat oil in a wok for deep frying.|To make the batter, in a mixing bowl add the flours, baking powder and oil.|Add cold water as required to make a thick batter.|Dip the banana slices in the batter, coat all over and deep fry until they just turn golden.|Take out on an absorbent paper/kitchen towel.|In a saucepan, heat the sugar and water. Cook on low heat till the sugar caramelizes.|Take it off the heat .|Working quickly, dip the banana fritters in the hot toffee, coat all over (use a spoon or fork) and drop them in  a bowl of iced water so that the toffee hardens immediately.|Take them out of the water ,drain excess water and sprinkle sesame seeds on top of the toffee bananas.|Serve Toffee Banana as it is or with ice cream for a wholesome dessert."
Mango Tomato Bean Salsa Recipe,Mango (Ripe)|Tomato|Onion|Rajma (Large Kidney Beans)|Pickled Jalapenos|Mint Leaves (Pudina)|Lemon juice|Coriander (Dhania) Leaves|Salt|Cumin powder (Jeera)|Red Chilli powder,"To begin making the Mango Bean Salsa Recipe, prep all the ingredients and keep ready.|Soak the rajma for at least 8 hours. Cook the rajma in the pressure cooker for about 35 minutes until soft and well cooked. Allow the pressure to release naturally.|Tip: when you are making a rajma masala or any other dish that requires rajma, it's a good idea to cook a little extra for this salsa and keep refrigerated. Helps in putting the salsa together in a jiffy. |In a large mixing bowl, combine the chopped ripe mangoes, onion, tomato, boiled rajma, jalapenos, coriander and mint leaves. |Season the mango bean salsa with cumin powder, red chilli powder, salt, lemon juice and tabasco sauce. Mix the salsa well and serve chilled|Serve Mango Tomato Bean Salsa as an appetizer or served along with some | or serve it as a simple salad alongside other Mexican appetizers such as | or "
Coorg Style Kumbala Curry Recipe (Pumpkin Sabzi),Kaddu (Parangikai/ Pumpkin)|Turmeric powder (Haldi)|Salt|Fresh coconut|Cumin seeds (Jeera)|Green Chillies|Oil|Mustard seeds (Rai/ Kadugu)|Curry leaves|Dry Red Chillies|Dry Red Chillies,"To begin making Coorg Kumbala Curry Recipe (Pumpkin Sabzi), Scoop out the seeds from the pumpkin and dice it into cubes . Retain the skin |Add turmeric,salt and Place the pumpkin in a pan and pour around 2 cups of water, to immerse pumpkins completely. Cook on a medium heat, covered.|Meanwhile in a grinder, grind the ingredients mentioned to be ground- to a smooth paste. Add a little water to grind along.|Once pumpkin in the pan is almost cooked, add the ground masala and mix. Simmer for another 3 mins. Remove from heat.|Prepare the tempering by heating oil in a small pan. Once the oil is hot, add the mustard seeds on a medium heat.|When they splutter, add the curry leaves, dried red chilies and garlic, stir till garlic is done, and pour the tadka over the pumpkin curry.|Serve Coorg Kumbala Curry Recipe (Pumpkin Sabzi) with | and steamed rice."
Kurkuri Bhindi And Onion Masala Recipe,Bhindi (Lady Finger/Okra)|Gram flour (besan)|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Amchur (Dry Mango Powder)|Salt|Water|Oil|Cumin seeds (Jeera)|Mustard seeds (Rai/ Kadugu)|Asafoetida (hing)|Green Chilli|Onions|Coriander (Dhania) Leaves,"To begin making the Kurkuri Bhindi And Onion Masala recipe, Firstly we will make the kurkuri bhindi. Take a |, add the sliced bhindi, besan, 1/2 teaspoon red chilli powder, 1/2 teaspoon turmeric powder, 1/2 teaspoon coriander powder, 1/2 teaspoon amchur powder, required salt and a little water. Mix everything properly.|Once it is done, heat oil in a |and fry the bhindis. Once done, take it out on the absorbent paper to absorb the extra oil. Keep it aside.|Now heat oil in a different wok. Add cumin seeds, mustard seeds, hing and green chillies.|After 10 to 15 seconds add in the ginger garlic paste. Saute it for a minute and then add the chopped onions. Cook till it becomes soft and translucent.|Add in the remaining red chilli powder, turmeric powder, coriander powder and the required salt. Mix it, cover the kadai and let it cook for 3 to 4 minutes.|Add in the fried bhindi and mix it properly. Cook for two more minutes, switch off the stove and garnish with chopped coriander leaves.|Serve Kurkuri Bhindi And Onion Masala along with |and | for a weekday meal."
Kerala Cherupayar Curry Recipe (Green Moong and Yellow Moong Dal Recipe),Green Moong Dal (Whole)|Yellow Moong Dal (Split)|Pearl onions (Sambar Onions)|Mustard seeds (Rai/ Kadugu)|Curry leaves|Dry Red Chilli|Turmeric powder (Haldi)|Salt|Coconut Oil|Fresh coconut|Green Chilli|Cumin seeds (Jeera),"To begin making the Kerala Cherupayar Curry Recipe, soak the green mung bean in water for at least 2 hours.|Pressure cook the green mung bean with water for about 4 whistle till it is just cooked. Once the pressure has released naturally, take them out and pressure cook the yellow moong dal now by adding some water, turmeric powder and pressure cook for 4 whistle.|Wait for the pressure to release naturally and mash the dal to a smooth paste.|Heat a kadai with oil, add mustard seeds and allow it splutter for few seconds and add curry leaves and be careful as it will splutter quickly.|Add the whole shallots and saute until they soften. Add mashed yellow moong dal along with cooked green moong dal and mix well. Cook in simmer.|Meanwhile grind the coconut, green chilli, cumin seeds in a mixer and grind it into a smooth paste by adding little water. |Add this ground paste into the boiling dal, adjust your salt levels and boil for another 10 minutes and serve hot. |Serve the Kerala Cherupayar Curry Recipe along with | or |. It can also be paired with | for a lunch box."
Kela Matar ki Sabzi Recipe - Raw Banana Green Peas Stir Fry,Raw Banana|Green peas (Matar)|Cumin seeds (Jeera)|Green Chilli|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Amchur (Dry Mango Powder)|Lemon|Oil|Coriander (Dhania) Leaves|Salt,"To begin making Kela Matar ki Sabzi first cut the raw bananas into half and pressure cook the bananas with 1/4 cup of water for 2 to 3 whistles. Turn off the heat and allow the pressure to release naturally. |Once the pressure has released, peel the skin from the raw banana and slice them into roundels. |Heat oil in a kadai over medium heat. Once the oil is hot, add cumin seeds, when they begin to sizzle, add green chilies.|Add salt, coriander powder, cumin powder, amchur powder, garam masala powder and turmeric powder and mix well. |Next add the boiled peas and cooked raw banana slices  and mix well.|Sprinkle some water, cover and cook the Kela Matar ki Sabzi until all the masalas get well coated - for about 4 to 5 minutes.|Check the salt and spices and adjust to taste accordingly. Finally add the juice from the lemon and stir in the chopped coriander leaves and serve.|Serve this nutritious and tasty and simple to prepare Kela Matar ki Sabzi with |, |, | and Steamed Rice.|A diabetic friendly dish, serve this Kela Matar ki Sabzi along with |, | and | for a Diabetic Friendly Meal."
Creamy Chicken Pesto Spaghetti Pasta Recipe,Extra Virgin Olive Oil|Chicken breasts|Spaghetti Pasta|Basil leaves|Walnuts|Parmesan cheese|Garlic|Extra Virgin Olive Oil|Salt|Whole Black Pepper Corns|Lemon juice,"To begin making the Creamy Chicken Pesto Pasta Recipe, heat a sauce pan with enough water. Sprinkle salt in order to increase the cooking process.|Add the spaghetti pasta into the boiling water, and wait till it softens.Cook until it becomes al dente (just cooked) and strain it under running water to stop the cooking process. |Drizzle olive oil into the pasta, toss it well and keep it aside. |The next is to make the basil pesto. Into a mixer grinder, add the basil leaves, garlic, olive oil, walnuts, parmesan, pepper and salt. Blend to make a smooth pesto mixture. Add a little water if required. Squeeze in some lemon juice into the pesto.|Take out the sun dried tomatoes from the jar. And cut them into small bite size pieces. Set them aside.|Cube the chicken breast. Also mince some garlic and set aside.|In a |, add some olive oil and add minced garlic to the pan and give it a toss. Add chicken and cook till it has turned white from pink and is roasted well. Season with salt and black pepper according to your taste.|Into the saucepan, add the basil pesto, boiled pasta and the chopped sundried tomatoes.|Toss the Creamy Chicken Pesto Pasta together and stir fry on medium heat until all of them come together. Check the salt to taste and adjust accordingly.|Turn off the heat and transfer the Creamy Chicken Pesto Pasta to a serving bowl.|Serve Creamy Chicken Pesto Pasta Recipe with | and a | for a healthy weekend dinner."
"Hyderabadi Bagare Tamatar (Spiced, Tossed Tomato Curry)",Tomatoes|Onions|Khoya (Mawa)|Sesame seeds (Til seeds)|Raw Peanuts (Moongphali)|Red Chilli powder|Kashmiri Red Chilli Powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Cloves (Laung)|Cinnamon Stick (Dalchini)|Garlic|Oil|Salt|Whole Eggs,"To begin making the Hyderabadi Bagare Tamatar first, wash and pat dry the tomatoes. Remove the eye off the tomatoes and make X shaped slits at the top. Set them aside for later use.|Place a heavy bottom pan on the heat. When it is warm, dry roast sesame seeds, cloves, cinnamon and peanuts, in separate batches. Take them out fo the pan and set them aside to cool.|Now in the same pan, add oil and when it gets warm, add sliced onions and saute them till they turn deep golden brown. Drain them form the oil using a slotted spoon and set them aside for later use.|In the oil that remains in the pan, very gently and carefully toss baby tomatoes on a medium low until the skin of baby tomatoes get scarred and wilted. Take them out of the pan and set aside.|Now start making masala for the recipe, by grinding roasted peanuts, sesame seeds, cloves and cinnamon stick to fine powder. Add 1 tbsp. of water if required, to allow easy grinding.|To this add fried onion slices and garlic cloves. Grind to smooth paste.|In the pan that the tomatoes were tossed, add a little oil if required and pour in the ground masala above.|On low flame, toss it. Add red chili powder, turmeric powder, salt, roasted coriander powder, roasted cumin powder and Kashmiri red chili powder.|Increase the heat to medium and fry till all the ingredients come together. Now add mawa to this and fry till oil starts to release from the sides.|Now gently drop in above sauteed tomatoes and stir until they get nicely coated with the masala.|Reduce the flame and add tamarind juice along with 1½ cups of water. Check for salt and allow the curry to simmer until it reaches thick consistency or as desired.|If you are using boiled eggs, then drop them now. Turn off the flame and leave it covered for 15 minutes.|Serve warm as a side dish the | or with | or |."
Eggplant Rolls Recipe,Brinjal (Baingan / Eggplant)|Green Bell Pepper (Capsicum)|Carrot (Gajjar)|Onion|Green Chillies|Garlic|Basil leaves|Parsley leaves|Extra Virgin Olive Oil|Black pepper powder|Salt|Dried oregano|Mozzarella cheese,"To begin with the Eggplant rolls first, arrange the eggplants slices on a colander and sprinkle some salt on them, keep them aside for 30 minutes.|Meanwhile heat oil in a pan. Add chopped onion and minced garlic and sauté it till onion turn translucent.|Now add carrot, green bell pepper, and green chillies and stir it for 2-3 minutes. Add paneer, salt, black pepper, oregano, basil parsley and cook it for another 3 minutes.|Now rinse off salt from the eggplant and squeeze the water out. Heat a little oil in a skillet and cook eggplant slices till they turn lightly brown on both the sides.|Remove them from the | and allow them to cool down.|Lay the eggplant slices flat on a cutting board. Place a teaspoon of the paneer and vegetable mixture on the center, repeat the same with all the slices of eggplant.|After adding the mixture, carefully fold the eggplant ends.|Now place the rolled eggplants in a lightly oiled baking dish. Spread 2 tablespoons of pasta sauce (you can add more as per your taste) on each eggplant roll and sprinkle mozzarella cheese on top of the sauce.|Preheat oven to 425 F and bake the eggplant rolls for 10-15 mins.|Remove the eggplant rolls from the tray and plate them on a serving plate.|Garnish Eggplant rolls with some parsley and serve it with | and | for your weeknight dinner."
